kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,EDITED BY Admin Kabupaten,prov_id,name,time_stamp,type,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,APPROVED BY ADMIN KABUPATEN,COMPLETED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,DRAFT,SUBMITTED RESPONDENT,APPROVED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,EDITED BY Admin Pusat,assigned,have-not-assigned
9501,585.0,458.0,127.0,,95,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9502,72.0,72.0,,,95,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9504,60.0,43.0,17.0,,95,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9503,43.0,13.0,4.0,26.0,95,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9471,410.0,295.0,115.0,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9409,353.0,192.0,151.0,8.0,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,2.0,,,,,,,,,,,,,
9403,134.0,127.0,7.0,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9420,107.0,38.0,13.0,2.0,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,47.0,7.0,,,,,,,,,,,
9408,50.0,50.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9419,42.0,39.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,3.0,,,,,,,,,,,,
9426,30.0,30.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9427,29.0,29.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9428,6.0,6.0,,,94,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9601,362.0,,104.0,91.0,96,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,167.0,,,,,,,,,,,,
9604,276.0,258.0,17.0,1.0,96,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9608,74.0,58.0,16.0,,96,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9603,41.0,41.0,,,96,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9704,27.0,27.0,,,97,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9702,19.0,19.0,,,97,IMK Tahunan 2025 - Pencacahan,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9702,29.0,29.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9704,8.0,,8.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9708,7.0,6.0,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9701,2.0,2.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9705,2.0,2.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9706,2.0,2.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9707,1.0,1.0,,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9471,82.0,82.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9403,21.0,15.0,6.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9408,11.0,9.0,2.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9409,11.0,8.0,3.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9420,10.0,8.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,2.0,,,,,,,,,,,,
9426,10.0,10.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9419,1.0,1.0,,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9601,64.0,40.0,24.0,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9608,7.0,7.0,,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9604,4.0,1.0,2.0,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,1.0,,,,,,,,,,,,
9607,3.0,3.0,,,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9501,47.0,36.0,11.0,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9502,12.0,10.0,2.0,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9504,2.0,1.0,1.0,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9503,1.0,1.0,,,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9471,44.0,41.0,1.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,2.0,,,,,,,,,,,,
9403,6.0,6.0,,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9409,5.0,4.0,,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,1.0,,,,,,,,,,,,
9408,3.0,3.0,,,94,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9501,14.0,14.0,,,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9503,6.0,6.0,,,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9502,4.0,,2.0,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9601,40.0,38.0,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9604,2.0,2.0,,,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9608,1.0,1.0,,,96,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,,,,,,,,,,,
9702,5.0,,1.0,,97,PENDATAAN IBS TRIWULANAN 2025,2026-02-20 09:26:41,progress,,,,4.0,,,,,,,,,,
9408,1.0,1.0,,,94,SURVEI TRIWULANAN PELAKU USAHA,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9704,941.0,941.0,,,97,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9702,642.0,642.0,,,97,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9501,9017.0,9017.0,,,95,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9502,3747.0,3747.0,,,95,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9504,380.0,380.0,,,95,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9503,312.0,209.0,,,95,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,103.0,,,,,,,,,,,,
9604,5920.0,5920.0,,,96,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
9601,3998.0,1944.0,,,96,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,2054.0,,,,,,,,,,,,
9608,805.0,805.0,,,96,IMK Tahunan 2025 - Listing,2026-02-20 09:26:42,progress,,,,,,,,,,,,,,
