prov_id,name,time_stamp,type,kd_kab,total,COMPLETED BY Admin Kabupaten,APPROVED BY Pengawas,EDITED BY Admin Kabupaten,OPEN,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,APPROVED BY ADMIN KABUPATEN,APPROVED BY ADMIN PROVINSI,APPROVED BY PENGAWAS,COMPLETED BY ADMIN PROVINSI,APPROVED BY Admin Kabupaten,DRAFT,SUBMITTED RESPONDENT,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
94,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9471,44.0,41.0,3.0,,,,,,,,,,,,,,,
94,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9403,6.0,6.0,,,,,,,,,,,,,,,,
94,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9409,5.0,5.0,,,,,,,,,,,,,,,,
94,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9408,3.0,3.0,,,,,,,,,,,,,,,,
95,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9501,14.0,14.0,,,,,,,,,,,,,,,,
95,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9503,6.0,6.0,,,,,,,,,,,,,,,,
95,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9502,4.0,,,2.0,2.0,,,,,,,,,,,,,
96,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:45,progress,9601,40.0,38.0,,,2.0,,,,,,,,,,,,,
96,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:45,progress,9604,2.0,2.0,,,,,,,,,,,,,,,,
96,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:45,progress,9608,1.0,1.0,,,,,,,,,,,,,,,,
97,PENDATAAN IBS TRIWULANAN 2025,2026-02-27 10:20:44,progress,9702,5.0,4.0,,,1.0,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9501,585.0,458.0,,,127.0,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9502,72.0,72.0,,,,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9504,60.0,43.0,,,17.0,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9503,43.0,13.0,,26.0,4.0,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9471,410.0,295.0,,,115.0,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9409,353.0,192.0,,8.0,151.0,2.0,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9403,134.0,127.0,,,7.0,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9420,107.0,38.0,47.0,2.0,13.0,,7.0,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9408,50.0,50.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9419,42.0,39.0,3.0,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9426,30.0,30.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9427,29.0,29.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9428,6.0,6.0,,,,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9601,362.0,,167.0,91.0,104.0,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9604,276.0,258.0,,1.0,17.0,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9608,74.0,58.0,,,16.0,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9603,41.0,41.0,,,,,,,,,,,,,,,,
97,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9704,27.0,25.0,,2.0,,,,,,,,,,,,,,
97,IMK Tahunan 2025 - Pencacahan,2026-02-27 10:20:45,progress,9702,19.0,19.0,,,,,,,,,,,,,,,,
97,IMK Tahunan 2025 - Listing,2026-02-27 10:20:45,progress,9704,941.0,941.0,,,,,,,,,,,,,,,,
97,IMK Tahunan 2025 - Listing,2026-02-27 10:20:45,progress,9702,642.0,642.0,,,,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9501,9017.0,9017.0,,,,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9502,3747.0,3747.0,,,,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9504,380.0,380.0,,,,,,,,,,,,,,,,
95,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9503,312.0,209.0,103.0,,,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9604,5920.0,5920.0,,,,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9601,3998.0,1944.0,2054.0,,,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9608,805.0,805.0,,,,,,,,,,,,,,,,
96,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9603,352.0,352.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9471,7004.0,7004.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9420,2203.0,2203.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9403,2171.0,2171.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9409,1697.0,1697.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9427,698.0,698.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9419,575.0,575.0,,,,,,,,,,,,,,,,
94,IMK Tahunan 2025 - Listing,2026-02-27 10:20:46,progress,9426,454.0,454.0,,,,,,,,,,,,,,,,
