kd_kab,total,COMPLETED BY Admin Kabupaten,OPEN,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,EDITED BY Admin Pusat,assigned,have-not-assigned
9702,13.0,13.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9704,8.0,,8.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9701,1.0,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9705,1.0,1.0,,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9708,1.0,,1.0,97,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9471,27.0,27.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9403,12.0,6.0,6.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9426,7.0,7.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9409,5.0,2.0,3.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9408,4.0,2.0,2.0,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9420,2.0,2.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9419,1.0,1.0,,94,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:27,progress,,,,,,,,
9601,48.0,24.0,24.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9604,2.0,,2.0,96,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:26,progress,,,,,,,,
9501,32.0,21.0,11.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:31,progress,,,,,,,,
9502,6.0,4.0,2.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:31,progress,,,,,,,,
9504,2.0,1.0,1.0,95,PENCACAHAN SKTR 2025 TRIWULAN 2,2026-03-10 11:42:31,progress,,,,,,,,
9501,585.0,458.0,127.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:27,progress,,,,,,,,
9502,72.0,72.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:27,progress,,,,,,,,
9504,60.0,43.0,17.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:27,progress,,,,,,,,
9503,43.0,13.0,4.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:27,progress,26.0,,,,,,,
9471,410.0,295.0,115.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,,,,,,
9409,353.0,192.0,151.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,8.0,2.0,,,,,,
9403,134.0,127.0,7.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,,,,,,
9420,107.0,38.0,13.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,2.0,,47.0,7.0,,,,
9408,50.0,50.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,,,,,,
9419,42.0,39.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,3.0,,,,,
9426,30.0,30.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,,,,,,
9427,29.0,29.0,,94,IMK Tahunan 2025 - Pencacahan,2026-03-10 11:42:26,progress,,,,,,,,
