kd_kab,total,OPEN,prov_id,name,time_stamp,type,assigned,have-not-assigned
9471,8,8.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9403,6,6.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9409,5,5.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9408,1,1.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9501,5,5.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9502,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9503,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9601,12,12.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9604,1,1.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9702,4,4.0,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:36,progress,,
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,2.0
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,12.0
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,1.0,0.0
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-16 19:07:37,user_assignment,0.0,4.0
