kd_kab,total,SUBMITTED BY Pencacah,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Pengawas,REJECTED BY Pengawas,assigned,have-not-assigned
4242SOR,768,633.0,135.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242MNK,705,648.0,57.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242JYP,271,1.0,270.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242MRK,160,127.0,33.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242TMK,119,55.0,64.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242WMN,65,14.0,51.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242NBR,63,,63.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
4242BIK,43,,43.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:13:40,progress,,,,
9471,228,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,228.0,,,
9403,119,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,119.0,,,
9409,79,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,78.0,1.0,,
9420,72,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,72.0,,,
9408,28,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,28.0,,,
9419,21,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,21.0,,,
9426,4,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,4.0,,,
9427,3,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,3.0,,,
9428,1,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,1.0,,,
9501,461,,37.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,404.0,20.0,,
9504,35,,8.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,27.0,,,
9502,33,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,33.0,,,
9503,23,,3.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,20.0,,,
9601,269,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,269.0,,,
9604,160,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,160.0,,,
9608,17,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,17.0,,,
9605,12,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,12.0,,,
9607,7,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,7.0,,,
9602,5,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,5.0,,,
9603,4,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,4.0,,,
9606,1,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,1.0,,,
9702,43,,27.0,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,16.0,,,
9704,9,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,9.0,,,
9708,7,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,7.0,,,
9703,6,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,6.0,,,
9706,5,,5.0,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,,,,
9707,3,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,3.0,,,
9701,1,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:13:40,progress,1.0,,,
4242JYP,36141,374.0,35767.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:13:40,progress,,,,
4242SOR,25979,399.0,25580.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:13:40,progress,,,,
