kd_kab,total,COMPLETED BY Pengawas,REJECTED BY Pengawas,prov_id,name,time_stamp,type,OPEN,SUBMITTED BY Pencacah,assigned,have-not-assigned
9471,228,228.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9403,119,119.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9409,79,78.0,1.0,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9420,72,72.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9408,28,28.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9419,21,21.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9426,4,4.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9427,3,3.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9428,1,1.0,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9501,461,404.0,16.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,37.0,4.0,,
9504,35,27.0,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,8.0,,,
9502,33,33.0,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9503,23,20.0,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,3.0,,,
9601,269,269.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9604,160,160.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9608,17,17.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9605,12,12.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9607,7,7.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9602,5,5.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9603,4,4.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9606,1,1.0,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9702,43,16.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,27.0,,,
9704,9,9.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9708,7,7.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9703,6,6.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9706,5,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,5.0,,,
9707,3,3.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
9701,1,1.0,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:43,progress,,,,
4242JYP,36141,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,35767.0,374.0,,
4242SOR,25979,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,25580.0,399.0,,
4242BIK,13004,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,12948.0,56.0,,
4242MNK,8649,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,7657.0,992.0,,
4242NBR,5515,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,5417.0,98.0,,
4242MRK,4972,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,4578.0,394.0,,
4242TMK,3200,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,2695.0,505.0,,
4242WMN,193,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-16 20:41:43,progress,155.0,38.0,,
4242SOR,772,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,135.0,637.0,,
4242MNK,708,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,57.0,651.0,,
4242JYP,271,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,270.0,1.0,,
4242MRK,160,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,33.0,127.0,,
4242TMK,119,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,64.0,55.0,,
4242WMN,65,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,51.0,14.0,,
4242NBR,63,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,63.0,,,
4242BIK,43,,,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-16 20:41:43,progress,43.0,,,
9471,228,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,228.0,0.0
9403,119,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,119.0,0.0
9409,79,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,79.0,0.0
9420,72,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,72.0,0.0
9408,28,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,28.0,0.0
9419,21,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,21.0,0.0
9426,4,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,4.0,0.0
9427,3,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,3.0,0.0
9428,1,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,1.0,0.0
9501,461,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,461.0,0.0
9504,35,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,35.0,0.0
9502,33,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,33.0,0.0
9503,23,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,23.0,0.0
9601,269,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,269.0,0.0
9604,160,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,160.0,0.0
9608,17,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-16 20:41:44,user_assignment,,,17.0,0.0
