kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,SUBMITTED BY Pencacah,assigned,have-not-assigned
9471,8,8.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9403,6,6.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9409,5,5.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9408,1,1.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9501,5,5.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9502,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9503,2,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9601,12,12.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9604,1,1.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9702,4,4.0,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:26,progress,,,,,
9471,44,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,progress,44.0,,,,
9403,6,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,progress,6.0,,,,
9409,5,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,progress,5.0,,,,
9408,3,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,progress,3.0,,,,
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:27,progress,14.0,,,,
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:27,progress,6.0,,,,
9502,4,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:27,progress,,2.0,,,
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:26,progress,40.0,,,,
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:26,progress,2.0,,,,
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:26,progress,1.0,,,,
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:26,progress,4.0,,1.0,,
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,8.0
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,6.0
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,5.0
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,1.0
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,5.0,0.0
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,2.0
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,2.0
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,12.0
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,1.0,0.0
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-17 10:03:28,user_assignment,,,,0.0,4.0
9471,44,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,44.0,0.0
9403,6,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,6.0,0.0
9409,5,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,5.0,0.0
9408,3,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,3.0,0.0
9501,14,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,14.0,0.0
9503,6,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,6.0,0.0
9502,4,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,4.0,0.0
9601,40,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,40.0,0.0
9604,2,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,2.0,0.0
9608,1,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,1.0,0.0
9702,5,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-17 10:03:28,user_assignment,,,,5.0,0.0
