kd_kab,total,SUBMITTED BY Pencacah,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Pengawas,REJECTED BY Pengawas,COMPLETED BY PML,APPROVED BY Admin Kabupaten,assigned,have-not-assigned
4242SOR,870,740.0,130.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242MNK,796,739.0,57.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242JYP,292,42.0,250.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242MRK,174,142.0,32.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242TMK,127,63.0,64.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242NBR,69,6.0,63.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242WMN,65,14.0,51.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
4242BIK,43,1.0,42.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PRABAYAR,2026-03-17 12:56:04,progress,,,,,,
9471,228,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,228.0,,,,,
9403,119,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,119.0,,,,,
9409,79,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,78.0,1.0,,,,
9420,72,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,72.0,,,,,
9408,28,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,28.0,,,,,
9419,21,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,21.0,,,,,
9426,4,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,4.0,,,,,
9427,3,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,3.0,,,,,
9428,1,,,94,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,1.0,,,,,
9501,461,12.0,35.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,404.0,10.0,,,,
9504,35,,8.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,27.0,,,,,
9502,33,,,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,33.0,,,,,
9503,23,,3.0,95,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,20.0,,,,,
9601,269,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,269.0,,,,,
9604,160,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,160.0,,,,,
9608,17,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,17.0,,,,,
9605,12,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,12.0,,,,,
9607,7,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,7.0,,,,,
9602,5,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,5.0,,,,,
9603,4,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,4.0,,,,,
9606,1,,,96,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:05,progress,1.0,,,,,
9702,43,,27.0,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,16.0,,,,,
9704,9,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,9.0,,,,,
9708,7,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,7.0,,,,,
9703,6,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,6.0,,,,,
9706,5,,5.0,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,,,,,,
9707,3,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,3.0,,,,,
9701,1,,,97,PEMUTAKHIRAN DTSEN PBI 2026,2026-03-17 12:56:04,progress,1.0,,,,,
4242JYP,36141,402.0,35739.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242SOR,25983,457.0,25526.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242BIK,13004,57.0,12947.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242MNK,8650,1138.0,7512.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242NBR,5515,101.0,5414.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242MRK,4975,525.0,4450.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242TMK,3200,582.0,2618.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
4242WMN,202,47.0,155.0,42,GROUNDCHECK PELANGGAN LISTRIK PT PLN (PERSERO) - PASCABAYAR,2026-03-17 12:56:05,progress,,,,,,
9471,2572,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,2572.0,,,
9403,1270,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,1270.0,,,
9428,1174,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,1174.0,,,
9409,1151,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,1151.0,,,
9408,1036,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,1036.0,,,
9420,830,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,830.0,,,
9419,756,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,756.0,,,
9426,747,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,747.0,,,
9427,607,,,94,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,607.0,,,
9502,3113,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,3113.0,,,
9501,3056,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,3056.0,,,
9503,1802,,,95,[VSNLIK26-P] – Survei Nasional Literasi Dan Inklusi Keuangan 2026,2026-03-17 12:56:04,progress,,,1802.0,,,
