kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,SUBMITTED BY Pencacah,REVOKED BY Admin Kabupaten,APPROVED BY Pengawas,REJECTED BY Pengawas,assigned,have-not-assigned
9408,1.0,1.0,94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-18 12:49:18,progress,,,,,,,,
9471,44.0,44.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9403,6.0,6.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9409,5.0,5.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9408,3.0,3.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9501,14.0,14.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9503,6.0,6.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9502,4.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,2.0,2.0,,,,,,
9601,40.0,40.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9604,2.0,2.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9608,1.0,1.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,,,,,,
9702,5.0,4.0,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-18 12:49:18,progress,,,1.0,,,,,
9501,585.0,458.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,127.0,,,,,,
9502,72.0,72.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,,,,
9504,60.0,43.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,17.0,,,,,,
9503,43.0,13.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,26.0,4.0,,,,,,
9471,410.0,295.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,115.0,,,,,,
9409,353.0,192.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,8.0,151.0,,2.0,,,,
9403,134.0,127.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,7.0,,,,,,
9420,107.0,38.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,2.0,13.0,,,47.0,7.0,,
9408,50.0,50.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,,,,
9419,42.0,39.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,3.0,,,
9426,30.0,30.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,,,,
9427,29.0,29.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,,,,
9428,6.0,6.0,94,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:17,progress,,,,,,,,
9601,362.0,,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,91.0,104.0,,,167.0,,,
9604,276.0,258.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,1.0,17.0,,,,,,
9608,74.0,58.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,,16.0,,,,,,
9603,41.0,41.0,96,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,,,,,,,,
9704,27.0,25.0,97,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,2.0,,,,,,,
9702,19.0,19.0,97,IMK Tahunan 2025 - Pencacahan,2026-03-18 12:49:18,progress,,,,,,,,
9471,8.0,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-18 12:49:18,progress,,8.0,,,,,,
