kd_kab,total,COMPLETED BY Admin Kabupaten,prov_id,name,time_stamp,type,EDITED BY Admin Kabupaten,OPEN,APPROVED BY Pengawas,REJECTED BY Pengawas,SUBMITTED BY Pencacah,assigned,have-not-assigned
9471,44,44.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,progress,,,,,,,
9403,6,6.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,progress,,,,,,,
9409,5,5.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,progress,,,,,,,
9408,3,3.0,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,progress,,,,,,,
9501,14,14.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,,,,,,,
9503,6,6.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,,,,,,,
9502,4,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,2.0,2.0,,,,,
9601,40,40.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,,,,,,,
9604,2,2.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,,,,,,,
9608,1,1.0,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:25:59,progress,,,,,,,
9702,5,4.0,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 10:26:05,progress,,,1.0,,,,
9471,8,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:04,progress,,8.0,,,,,
9403,6,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:04,progress,,6.0,,,,,
9409,5,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:04,progress,,5.0,,,,,
9408,1,,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:04,progress,,1.0,,,,,
9501,5,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:25:59,progress,,5.0,,,,,
9502,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:25:59,progress,,2.0,,,,,
9503,2,,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:25:59,progress,,2.0,,,,,
9601,12,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:25:59,progress,,12.0,,,,,
9604,1,,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:25:59,progress,,1.0,,,,,
9702,4,,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 10:26:04,progress,,4.0,,,,,
9420,265,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,10.0,213.0,35.0,7.0,,
9403,214,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,24.0,31.0,,159.0,,
9471,42,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,42.0,,,,,
9409,41,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,14.0,8.0,,19.0,,
9427,21,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,21.0,,,,,
9408,16,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,16.0,,,,,
9426,9,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,9.0,,,,,
9419,8,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,8.0,,,,,
9428,4,,94,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,4.0,,,,,
9503,402,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:04,progress,,20.0,,2.0,380.0,,
9501,45,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:04,progress,,35.0,,,10.0,,
9502,28,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:04,progress,,28.0,,,,,
9504,18,,95,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:04,progress,,18.0,,,,,
9604,870,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,49.0,,,821.0,,
9605,87,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,13.0,,,74.0,,
9601,85,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,43.0,,,42.0,,
9603,33,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,25.0,,,8.0,,
9608,14,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,14.0,,,,,
9602,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,4.0,,,,,
9606,4,,96,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,4.0,,,,,
9702,750,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,25.0,538.0,,187.0,,
9707,545,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,,461.0,,84.0,,
9704,8,,97,IMK Triwulanan 2026 - LISTING,2026-03-19 10:26:00,progress,,8.0,,,,,
