kd_kab,total,OPEN,prov_id,name,time_stamp,type,COMPLETED BY Admin Kabupaten,EDITED BY Admin Kabupaten,APPROVED BY Pengawas,REVOKED BY Admin Kabupaten,REJECTED BY Pengawas,assigned,have-not-assigned
9471,8.0,8.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9403,6.0,6.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9409,5.0,5.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9408,1.0,1.0,94,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9501,5.0,5.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9502,2.0,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9503,2.0,2.0,95,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9601,12.0,12.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9604,1.0,1.0,96,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9702,4.0,4.0,97,PEMUTAKHIRAN DIREKTORI PERUSAHAAN AWAL 2026,2026-03-19 14:25:53,progress,,,,,,,
9471,44.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,44.0,,,,,,
9403,6.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,6.0,,,,,,
9409,5.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,5.0,,,,,,
9408,3.0,,94,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,3.0,,,,,,
9501,14.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:54,progress,14.0,,,,,,
9503,6.0,,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:54,progress,6.0,,,,,,
9502,4.0,2.0,95,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:54,progress,,2.0,,,,,
9601,40.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,40.0,,,,,,
9604,2.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,2.0,,,,,,
9608,1.0,,96,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,1.0,,,,,,
9702,5.0,,97,PENDATAAN IBS TRIWULANAN 2025,2026-03-19 14:25:53,progress,4.0,,1.0,,,,
9408,1.0,,94,SURVEI TRIWULANAN PELAKU USAHA,2026-03-19 14:25:53,progress,1.0,,,,,,
9501,585.0,127.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-19 14:25:53,progress,458.0,,,,,,
9502,72.0,,95,IMK Tahunan 2025 - Pencacahan,2026-03-19 14:25:53,progress,72.0,,,,,,
9504,60.0,17.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-19 14:25:53,progress,43.0,,,,,,
9503,43.0,4.0,95,IMK Tahunan 2025 - Pencacahan,2026-03-19 14:25:53,progress,13.0,26.0,,,,,
