kd_kab,doneListing,doneTarikSample,total,name,type,time_stamp
9403,0,0,28,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9408,0,0,16,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9409,0,0,18,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9419,0,0,8,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9420,0,0,14,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9426,0,0,9,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9427,0,0,21,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9428,0,0,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9471,0,0,42,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9501,0,0,35,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9502,0,0,28,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9503,0,0,24,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9504,0,0,18,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9601,0,0,44,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9602,0,0,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9603,0,0,29,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9604,0,0,56,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9605,0,0,15,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9606,0,0,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9608,0,0,14,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9701,0,0,1,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9702,0,0,41,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9703,0,0,6,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9704,0,0,8,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9706,0,0,2,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9707,0,0,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
9708,0,0,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:29:08
