kd_kab,SudahListing,BelumListing,SudahTarikSampel,BelumTarikSampel,total,name,type,time_stamp
9403,0,28,0,28,28,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9408,0,16,0,16,16,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9409,0,18,0,18,18,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9419,0,8,0,8,8,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9420,0,14,0,14,14,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9426,0,9,0,9,9,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9427,0,21,0,21,21,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9428,0,4,0,4,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9471,0,42,0,42,42,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9501,0,35,0,35,35,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9502,0,28,0,28,28,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9503,0,24,0,24,24,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9504,0,18,0,18,18,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9601,0,44,0,44,44,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9602,0,4,0,4,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9603,0,29,0,29,29,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9604,0,56,0,56,56,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9605,0,15,0,15,15,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9606,0,4,0,4,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9608,0,14,0,14,14,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9701,0,1,0,1,1,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9702,0,41,0,41,41,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9703,0,6,0,6,6,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9704,0,8,0,8,8,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9706,0,2,0,2,2,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9707,0,4,0,4,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
9708,0,4,0,4,4,IMK Triwulanan 2026 - LISTING,pemutakhiran,2026-03-16 18:51:43
