name,id,unit,description,isActive,surveyType,panelType,areaType,updateListingType,isPublic,createdAt,regionGroupId,survey_period_id,startDate,endDate
PENDATAAN IBS TRIWULANAN 2025,8b03e5e4-9247-467a-9b5f-cc3b9097c0e5,BADAN PUSAT STATISTIK,PENDATAAN IBS TRIWULANAN 2025,True,Pencacahan,False,False,False,,2025-10-06T11:51:08.2722066,68128668-56f2-4007-962e-bb83dd913eb7,7b622ec1-ade8-4595-9dbe-b34ea2908c0b,2025-10-06,2025-12-31
SURVEI TRIWULANAN PELAKU USAHA,348f2096-0792-4b65-bf07-71bbf52f6720,BADAN PUSAT STATISTIK,SURVEI TRIWULANAN PELAKU USAHA 2025,True,Pencacahan,False,False,True,,2025-10-06T08:03:13.0970765,68128668-56f2-4007-962e-bb83dd913eb7,8c937cfb-c976-4dd9-bc53-4d5890d8c24c,2025-11-06,2026-01-11
IMK Tahunan 2025 - Pencacahan,ea5fc353-e668-4615-aad2-cfc825b2308f,BADAN PUSAT STATISTIK,IMK Tahunan 2025 - Pencacahan,True,Pencacahan,False,False,False,,2025-08-17T18:27:57.6046733,0bd10b5c-798e-4d2c-a5f2-41aa1212c4f8,5257bc20-32f4-4d63-b437-cdfb64d40610,2025-09-01,2026-03-31
Survei Khusus Usaha di Kawasan Industri dan Kawasan Ekonomi Khusus (Triwulan 2),a80f2c0c-fa5c-4493-bb22-ca6857cdeea5,BADAN PUSAT STATISTIK,Survei Khusus Usaha di Kawasan Industri dan Kawasan Ekonomi Khusus,True,Pencacahan,False,False,True,,2025-07-20T09:30:42.0343539,2e756f10-553f-4e3b-9cb3-43f8beba1264,6e7a945e-ebbc-4456-8c90-5c0a84d7f2d4,2025-07-20,2025-09-30
SURVEI TAHUNAN PERUSAHAAN PANAS BUMI (GEOTHERMAL) 2025,38f53842-c75f-45c6-a887-c5e583ab2695,BADAN PUSAT STATISTIK,SURVEI TAHUNAN PERUSAHAAN PANAS BUMI (GEOTHERMAL) 2025,True,Pencacahan,False,False,False,,2025-07-03T06:34:27.1067582,68128668-56f2-4007-962e-bb83dd913eb7,4f424133-66e3-4a35-8bf0-53435312e527,2025-07-03,2025-08-31
PENCACAHAN SKTR 2025 TRIWULAN 2,353d4d4c-f7a0-4196-9cfc-ab6c8e77d946,BADAN PUSAT STATISTIK,PENCACAHAN SKTR TRIWULAN 2,True,Pencacahan,False,False,False,,2025-07-01T12:46:51.7652171,080c3f37-1345-4746-90ee-1ca024cf2a59,130f8c4e-8b2a-4b1c-85ff-93c550ee4ded,2025-07-01,2025-09-14
SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,26bbcf74-f6a1-44c7-881a-b843dfe31ba0,BADAN PUSAT STATISTIK,SURVEI TAHUNAN PERUSAHAAN LISTRIK TAHUN 2025,True,Pencacahan,False,False,False,,2025-06-30T07:42:12.8201285,68128668-56f2-4007-962e-bb83dd913eb7,16dc1306-a5b2-4402-9cdb-ab4f98f5f5b3,2025-06-30,2025-08-31
IMK Tahunan 2025 - Listing,af9fbc49-3b10-41f1-b979-9d123594a01d,BADAN PUSAT STATISTIK,IMK Tahunan 2025 - LISTING,True,Pencacahan,False,False,True,,2025-06-30T03:29:24.4232599,0bd10b5c-798e-4d2c-a5f2-41aa1212c4f8,11c68e1b-5027-4cc9-993c-95fc147e32b3,2025-06-30,2025-08-23
SURVEI TAHUNAN PERUSAHAAN GAS TAHUN 2025,dcdce687-1dd0-44b0-8128-fc0a132eae58,BADAN PUSAT STATISTIK,SURVEI TAHUNAN PERUSAHAAN GAS TAHUN 2025,True,Pencacahan,False,False,False,,2025-06-26T04:00:59.2324901,68128668-56f2-4007-962e-bb83dd913eb7,3f46fb99-3883-4a04-ab7b-257a00d2973f,2025-06-26,2025-08-31
SURVEI TAHUNAN PERUSAHAAN PERTAMBANGAN NON MINYAK DAN GAS TAHUN 2025,92113293-46a4-4e48-90db-93daf841d877,BADAN PUSAT STATISTIK,SURVEI TAHUNAN PERUSAHAAN PERTAMBANGAN NON MINYAK DAN GAS TAHUN 2025,True,Pencacahan,False,False,False,,2025-06-20T05:29:17.9739518,68128668-56f2-4007-962e-bb83dd913eb7,3238f8e5-e9e5-4f66-8ff7-9b46ae52e915,2025-06-20,2025-08-31
